"fips","state_abbr","county","latitude","longitude","Appearance Aspirations High","Continuous Learning High","Cultural Connection High","Cultural Exploration High","Environmentalism High","Family Orientation High","Financial Optimism High","Health Commitment High","Natural Preferences High","Novelty Aspirations High","Religiosity High","Tech Disposition High","Appearance Aspirations Low","Continuous Learning Low","Cultural Connection Low","Cultural Exploration Low","Environmentalism Low","Family Orientation Low","Financial Optimism Low","Health Commitment Low","Natural Preferences Low","Novelty Aspirations Low","Religiosity Low","Tech Disposition Low","x","y"
"32019","NV","Lyon",39.022214,-119.197417,0.0541677180587097,0.102763058289175,0.0502985953402305,0.195117335352006,0.00916813861552696,0.436790310370931,0.11836571620826,0.0910715787702919,0.0892421566153587,0.165068550761208,0.198565901253259,0.262322314744722,0.397531331482883,0.656552275212381,0.590020186727227,0.297880393641181,0.42932542686517,0.223084363697536,0.312683993607536,0.218479266548911,0.740684666498444,0.397972916140971,0.296555639666919,0.422091849608882,4.4354012693781,3.84847983200459
"26097","MI","Mackinac",46.167981,-85.303756,0.0810023915982115,0.0845377976499948,0.143911822813767,0.125714879900177,0.0420089424976604,0.447436830612457,0.115524591868566,0.12685868774046,0.113029011126131,0.0936882603722575,0.21909119267963,0.190911926796298,0.302381199958407,0.726629926172403,0.0951440158053447,0.390454403660185,0.280960798585838,0.210668607673911,0.30071747946345,0.145887490901529,0.460538629510242,0.509826349173339,0.239471768742851,0.51980867214308,-3.21888561971143,5.90464741720237
"26099","MI","Macomb",42.671467,-82.910869,0.208452884130853,0.19147024342085,0.121448184370469,0.241630158681188,0.0300998056335421,0.453688849124323,0.239123448410617,0.127144201400673,0.102440893057312,0.136479447546766,0.191639928423781,0.323399047707196,0.118226740299674,0.551381133084462,0.205451259268401,0.26836583058238,0.282123170744249,0.19356816709345,0.216122132066352,0.197200968747108,0.192777589238886,0.453864961589486,0.353578553872417,0.323041680807084,-17.6910873307742,3.47150884041366
"01087","AL","Macon",32.387027,-85.692887,0.149006218753811,0.434032435068894,0.939519570784051,0.792769174490916,0.302280209730521,0.38434337275942,0.0141446165101817,0.427874649432996,0.0798073405682234,0.365260334105597,0.436776002926472,0.340141446165102,0.195646872332642,0.221558346543104,0,0.0232288745274966,0.0467016217534447,0.214303133764175,0.52286306547982,0.036702841116937,0.674612852091208,0.21119375685892,0.128520912083892,0.361358370930374,-18.5670151113177,28.9357308632361
"13193","GA","Macon",32.366216,-84.052162,0.092223697801387,0.318725099601594,0.76995720820422,0.548325217647927,0.123210860262653,0.459790467758595,0.0219861295558507,0.268702965914121,0.105208794451822,0.229747675962815,0.503172495204368,0.275343072155821,0.258373911760366,0.317101962520289,0,0.0433820274457725,0.045742954109488,0.131474103585657,0.534159657665634,0.0978308986277114,0.727903202006788,0.269145639663568,0.100634499040874,0.378486055776892,-15.7187777302803,28.842327021335
"17115","IL","Macon",39.860237,-88.961529,0.166329077532245,0.151170236399514,0.123818982528129,0.161324046365145,0.0417129490479986,0.500921291637808,0.152934411876168,0.141343125596226,0.0988853024580845,0.1215843602577,0.298001907923108,0.228284306679038,0.177345373286463,0.622192020699659,0.241169321641859,0.376004599924206,0.438574023496204,0.153248043072018,0.296486023809835,0.274636383832312,0.525319185081609,0.486076081700927,0.245220391254917,0.442494413444324,-1.37471038853314,2.68477537536098
"29121","MO","Macon",39.829795,-92.56434,0.0755395683453237,0.111745386299656,0.0199405692837035,0.0605254926493588,0.0193931811072881,0.46418517360025,0.0686581169846731,0.0996246481076009,0.127385048482953,0.154910853925555,0.316155771035346,0.165780419142947,0.34563653425086,0.699014701282452,0.422974663747263,0.537456990928996,0.437754144510479,0.202533625273694,0.388802001876759,0.37011260556772,0.556224585548952,0.41280888332812,0.218095089146074,0.538395370659994,11.3321010692223,-3.00658284456889
"37113","NC","Macon",35.152959,-83.421901,0.0555368046393176,0.0960694670307754,0.163572765487404,0.0896873369948759,0.0588506029271885,0.453315332453745,0.135620263262864,0.131201865545703,0.115492006995796,0.065017949740726,0.262280997821484,0.169433279126139,0.394648829431438,0.692890675339818,0.14273879291829,0.39802399435427,0.263385597250775,0.180111073609279,0.283421803565401,0.114970390598632,0.368506642938234,0.651775029916235,0.205271393943113,0.536252339602958,-3.65877435658336,5.8470805428817
"47111","TN","Macon",36.537838,-86.001231,0.0504094978096629,0.108120119357501,0.0231096438321376,0.0758047108120119,0,0.541045013015047,0.0424100057139229,0.0848834994603517,0.130848834994604,0.19643197257317,0.336930988508666,0.150911053266459,0.316932258269316,0.691321185956447,0.41470382832836,0.427464922862041,0.353374388927687,0.119420989143546,0.460034283537553,0.359532728080757,0.74280998031871,0.393562313503905,0.175544409878738,0.505872643006793,16.8151711028753,1.9129290343115
"17117","IL","Macoupin",39.2659,-89.926344,0.0648444395410415,0.0822484554280671,0.0198036187113857,0.0329048984995587,0.0107844218887908,0.509239849955869,0.115291262135922,0.0820553839364519,0.110685127978817,0.101528022947926,0.260839585172109,0.148306487202118,0.33492387466902,0.733809576345984,0.420399382171227,0.582358781994704,0.576814872021183,0.151561120917917,0.278519417475728,0.282573918799647,0.62982678729038,0.479892983230362,0.22716240070609,0.526285304501324,15.914684658028,-15.6357978544943
"06039","CA","Madera",37.210039,-119.749852,0.215552135735254,0.117488070143676,0.269453101762644,0.385816079765153,0.143856608946422,0.504196464365616,0.141735745599855,0.122854888977977,0.0834507998499877,0.287402847647006,0.294011147464663,0.372146856854656,0.201313900707386,0.645195080631603,0.278518499359861,0.141929727003505,0.027441902569607,0.186351468439226,0.278854733792854,0.115781033791561,0.415495234523517,0.305934537742315,0.260478228820464,0.339480388480091,-17.4726795530915,10.9039399943498
"01089","AL","Madison",34.764238,-86.55108,0.267565725876741,0.290360204744624,0.28474715940605,0.383189388777079,0.0610367177471753,0.461147647496949,0.244596928830642,0.263740234220243,0.0838660602507012,0.154464922428411,0.246130928798948,0.358084401692471,0.120032328098506,0.418937292997163,0.13019349317782,0.152376273711234,0.14389173256422,0.193515363770344,0.234908007543223,0.11686924551923,0.332221922887977,0.513642774511513,0.32869752626658,0.299259940097935,-20.8449243477876,11.2428368068826
"05087","AR","Madison",36.012545,-93.724053,0.0659572968783032,0.1329716017194,0.0260728630822352,0.107955746599958,0.00303008949334085,0.451624268902826,0.0369952786977662,0.0523571277570291,0.122331054893947,0.258050877316609,0.317102388837996,0.239518004368966,0.360228313719963,0.654922133746741,0.462335282925798,0.422168980339652,0.401381157071383,0.21196533013882,0.431752519202311,0.36389260799098,0.748220703262631,0.320202945528856,0.193502924388697,0.44781904023677,12.486723766963,-1.29268092576865
"12079","FL","Madison",30.447228,-83.470437,0.0964900919570004,0.292254889263049,0.518844709234555,0.445538142727626,0.0621033544877607,0.440616500453309,0.0395026550964901,0.322820878124595,0.0867115658593446,0.229762984069421,0.389133531925916,0.327677761947934,0.323857013340241,0.40169667141562,0.0381427276259552,0.14505893019039,0.334671674653542,0.212278202305401,0.45538142727626,0.157233518974226,0.656909726719337,0.431809351120321,0.15198808444502,0.38207486076933,-12.1693503969116,23.7994857035554
"13195","GA","Madison",34.128486,-83.203637,0.0553951553706875,0.118864692928799,0.086860778076829,0.203180817225349,0.000146806948862246,0.543919745534622,0.0633716662588696,0.103988255444091,0.111377538536824,0.143577195987277,0.32742843161243,0.230878394910692,0.314166870565207,0.68103743577196,0.186346953755811,0.261609982872523,0.466846097381943,0.12874969415219,0.366821629557132,0.264790800097871,0.715292390506484,0.389185221433815,0.199510643503793,0.43924639099584,7.15842805120673,11.1860325050896
"16065","ID","Madison",43.789709,-111.65655,0.289702490092861,0.192937836399125,0.0214703968770332,0.0872419707813332,0.0287454900337138,0.462116283196309,0.184479801265748,0.172532087301118,0.113384988466316,0.177086413911398,0.330987165079553,0.293724492813628,0.183296859289052,0.602827231324303,0.567161530726918,0.543975867983675,0.1583959306796,0.227065712426805,0.240728692257645,0.119536286745135,0.326906015259951,0.440350150825102,0.260602117466138,0.365943100490921,-13.3826467507148,-9.07028412693852
"17119","IL","Madison",38.827082,-89.900195,0.151027618810649,0.124782284150286,0.0541378452351331,0.103881562577756,0.0163423737248072,0.495755162975865,0.188912664842001,0.123692460811147,0.110460313510824,0.109136601144563,0.237755660612093,0.198064195073401,0.180990296093556,0.658084100522518,0.352142323961184,0.454849465041055,0.364105498880319,0.159268474744961,0.261179397860164,0.25517790495148,0.232819109231152,0.47451604876835,0.318427469519781,0.436675789997512,-15.4059957992191,-12.4689511946383
